"","tipo_trabalho","funcao_trabalho","proportion","proportion_se","total","total_se","descricao","mes"
"81","Trabalhador por conta própria","32",0.00564661843093162,0.000529801375730612,138390.212142418,13002.0578810667,"Artista, religioso (padre, pastor etc.)","maio"
"82","Trabalhador por conta própria","33",0.0105989167296117,0.000855209677937034,259763.671413652,21243.0500898901,"Diretor, gerente, cargo político ou comissionado","maio"
"83","Trabalhador por conta própria","34",0.0503533169065652,0.00187144411209639,1234084.84104428,47913.7849140879,"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)","maio"
"84","Trabalhador por conta própria","35",0.0204667456299926,0.00108264937587127,501609.468435832,26999.9028268248,"Outro técnico ou profissional de nível médio","maio"
"85","Trabalhador por conta própria","36",0.126796652446157,0.00273880123425899,3107597.20098123,73501.4269498107,"Outros","maio"
"86","Empregado","02",0.0423714774552127,0.0011553725663675,1659225.85118986,47063.4379285308,"Faxineiro, auxiliar de limpeza etc. (em empresa pública ou privada),","agosto"
"87","Empregado","03",0.0705853173389756,0.00153575612404032,2764052.38328219,64165.4424873099,"Auxiliar de escritório, escriturário","agosto"
"88","Empregado","04",0.0318515233232798,0.000958952507628105,1247274.6779629,38021.656369145,"Secretária, recepcionista","agosto"
"89","Empregado","05",0.0136405023750151,0.000710473018188479,534148.807715399,28317.8458192981,"Operador de Telemarketing","agosto"
"90","Empregado","07",0.0901794610453308,0.00173744274339337,3531339.99565961,74603.7942959447,"Balconista, vendedor de loja","agosto"
"91","Empregado","08",0.0167771350829463,0.000744164281186338,656976.294205295,30268.9382837397,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)","agosto"
"92","Empregado","09",0.00277211342575676,0.000290452627293464,108553.265892319,11374.3695120329,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)","agosto"
"93","Empregado","10",0.0259522588221145,0.000892952306938673,1016265.21708945,36175.072882826,"Cozinheiro e garçon (de restaurantes, empresas)","agosto"
"94","Empregado","11",0.0119384398051747,0.000603917510782334,467497.692724024,23914.4776246225,"Padeiro, açougueiro e doceiro","agosto"
"95","Empregado","12",0.0236580430412069,0.0008937270366678,926425.958217412,34953.5497172366,"Agricultor, criador de animais, pescador, silvicultor e jardineiro","agosto"
"96","Empregado","13",0.0284090368132491,0.00104621237311821,1112470.2540234,40959.4649305168,"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)","agosto"
"97","Empregado","14",0.0190727349485153,0.000765665366746672,746869.752486663,30613.3046745224,"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)","agosto"
